year,none,primary,secondary,lower_secondary,upper_secondary,post_secondary,none_female,none_male,primary_female,primary_male,secondary_female,secondary_male,lower_secondary_female,lower_secondary_male,upper_secondary_female,upper_secondary_male,post_secondary_female,post_secondary_male
1900,36.21755559,55.83953744,7.865229367,,,0.077677608,60.67367901,12.17300906,32.38932688,78.89509982,6.900828186,8.813400451,,,,,0.036165931,0.118490676
1905,31.12393138,57.77076619,10.96823584,,,0.137066593,52.82808126,9.772977036,36.6366848,78.56092887,10.46065739,11.46755437,,,,,0.074576548,0.198539727
1910,26.24718661,58.8033637,14.71290994,,,0.23653975,45.07020128,7.739626662,40.04239514,77.24991737,14.74634425,14.68003597,,,,,0.141059339,0.330420006
1915,21.64752355,58.78624768,19.18354305,,,0.382685723,37.53524726,5.940838193,42.4939407,74.89290614,19.73144482,18.64188454,,,,,0.239367224,0.524371128
1920,17.45295459,57.62795382,24.32842229,,,0.590669306,30.43294362,4.416979064,43.88990726,71.42525658,25.30071537,23.35193542,,,,,0.376433741,0.805828931
1925,13.67066359,55.55349184,29.89111577,,,0.884728804,24.09162528,3.298180997,44.08405891,66.9695681,31.26579028,28.52283635,,,,,0.558525532,1.209414554
1930,10.481608,52.56538017,35.67350169,,,1.279510141,18.53999776,2.470397612,43.24652388,61.82967745,37.41927113,33.93795318,,,,,0.794207231,1.761971753
1935,7.962212457,49.10961827,41.13721608,,,1.790953193,14.03850257,1.877912191,41.50093864,56.72832813,43.37803416,38.89344402,,,,,1.082524625,2.500315658
1940,5.857278937,44.89942047,46.85387601,,,2.389424592,10.25592848,1.413111105,38.87999314,50.98113828,49.44234577,44.23862013,,,,,1.42173261,3.367130484
1945,4.17154019,40.18899445,52.60783692,,,3.031628444,7.074648656,1.074962577,35.61848641,45.06409059,55.4854093,49.53849716,,,,,1.821455636,4.322449668
1950,2.990821425,35.7489004,57.41145275,,,3.848825427,4.99752751,0.826111185,32.2397675,39.53433562,60.4960263,54.08400585,,,,,2.266678688,5.555547339
1955,2.160092315,31.20879026,,38.12030102,23.52745112,4.983365282,3.565881616,0.645834,28.54087812,34.0825553,,,40.42123026,35.64183485,24.61524464,22.35572474,2.856765362,7.274051099
1960,1.535069523,26.9420494,,37.96091887,27.42438898,6.13757323,2.491190597,0.507045366,24.99798694,29.032311,,,40.30525365,35.44028331,28.63590241,26.12176621,3.5696664,8.898594111
1965,1.058320527,22.70695874,,37.44436654,31.34679054,7.443563658,1.681304038,0.394145723,21.41940954,24.07963991,,,39.66011364,35.08211558,32.60796964,30.00222304,4.631203146,10.44187574
1970,0.765971763,18.87109549,,35.02209531,36.15476566,9.186071786,1.183308838,0.320564487,18.06977413,19.72631392,,,37.06351782,32.84336619,37.71185651,34.49294446,5.971542696,12.61681094
1975,0.574612232,15.86029094,,32.79945553,39.702665,11.0629763,0.862838484,0.268651963,15.43687315,16.30976082,,,34.7550043,30.72358555,41.49528554,37.7997479,7.449998525,14.89825377
1980,0.43890585,13.4290319,,31.00872325,42.26152918,12.86180983,0.638170349,0.227366294,13.26549697,13.60264089,,,32.74194324,29.16873374,44.13956602,40.26780184,9.214823432,16.73345725
1985,0.338193753,11.2866171,,29.02509925,44.15764003,15.19244987,0.475830582,0.192287034,11.32975078,11.24089174,,,30.53442379,27.42508716,45.99027665,42.2148897,11.66971819,18.92684437
1990,0.262167582,9.404148203,,27.05905877,45.25558823,18.01903722,0.355160352,0.163593765,9.586087446,9.211289708,,,28.3602783,25.67974535,46.96830726,43.44007878,14.73016665,21.5052924
1995,0.207462059,7.591118077,,24.10583313,46.3830116,21.71257513,0.269723077,0.141595532,7.891145549,7.273716149,,,25.28834693,22.85484049,47.89833575,44.77993572,18.6524487,24.94991211
2000,0.169261455,6.156344386,,21.60037715,46.51766547,25.55635153,0.211037963,0.124936259,6.512120877,5.778862794,,,22.64594855,20.49101786,47.859905,45.09353902,22.77098761,28.51164407
2005,0.142336652,4.928623125,,19.4476736,46.35666289,29.12470373,0.170652949,0.112145651,5.320171582,4.511151881,,,20.35552157,18.47972082,47.44297007,45.19843586,26.71068383,31.69854579
2010,0.123425126,3.88865831,,17.6239078,46.08022737,32.2837814,0.142444344,0.103083415,4.281866512,3.468108573,,,18.39604983,16.79807525,46.89835735,45.20520912,30.28128196,34.42552364
